Player,total_points,Round,Pick,Manager
M.Salah,123,1,1,LL
Haaland,239,1,2,AG
Palmer,114,1,3,CG
Wirtz,125,1,4,DM
B.Fernandes,235,2,1,DM
Gyökeres,128,2,2,CG
Saka,157,2,3,AG
Mbeumo,148,2,4,LL
Marmoush,56,3,1,LL
Isak,41,3,2,AG
Watkins,167,3,3,CG
Ndiaye,128,3,4,DM
João Pedro,177,4,1,DM
Cunha,143,4,2,CG
Eze,113,4,3,AG
Šeško,111,4,4,LL
Frimpong,63,5,1,LL
Havertz,36,5,2,AG
Ekitiké,125,5,3,CG
Bowen,187,5,4,DM
Sarr,117,6,1,DM
Virgil,175,6,2,CG
Saliba,137,6,3,AG
Solanke,40,6,4,LL
Ødegaard,74,7,1,LL
Rogers,169,7,2,AG
Gabriel,209,7,3,CG
Pedro Porro,117,7,4,DM
Van de Ven,116,8,1,DM
Muñoz,136,8,2,CG
Gordon,101,8,3,AG
Gvardiol,79,8,4,LL
Cucurella,104,9,1,LL
Neto,125,9,2,AG
Elanga,48,9,3,CG
Mac Allister,108,9,4,DM
Kerkez,85,10,1,DM
Mitoma,62,10,2,CG
Lewis-Skelly,29,10,3,AG
Wood,41,10,4,LL
Romero,91,11,1,LL
Aït-Nouri,60,11,2,AG
Rúben,113,11,3,CG
Welbeck,126,11,4,DM
N.Williams,128,12,1,DM
Schade,125,12,2,CG
Schär,51,12,3,AG
Enzo,157,12,4,LL
Raya,162,13,1,LL
J.Timber,149,13,2,AG
A.Becker,91,13,3,CG
Konaté,129,13,4,DM
Ederson M.,0,14,1,DM
Trafford,13,14,2,CG
Sels,105,14,3,AG
Guéhi,179,14,4,LL
Sánchez,113,15,1,LL
Pope,96,15,2,AG
Milenković,119,15,3,CG
Pickford,135,15,4,DM
