league_entry_1,league_entry_1_points,league_entry_2,league_entry_2_points,gameweek
56955,58,45064,41,1
45123,53,55807,30,1
45064,79,45123,32,2
55807,63,56955,48,2
55807,36,45064,43,3
56955,44,45123,36,3
56955,45,45064,63,4
45123,66,55807,48,4
45064,26,45123,42,5
55807,37,56955,24,5
55807,25,45064,28,6
56955,45,45123,33,6
56955,44,45064,34,7
45123,65,55807,58,7
45064,60,45123,46,8
55807,49,56955,38,8
55807,57,45064,37,9
56955,45,45123,33,9
56955,39,45064,64,10
45123,56,55807,57,10
45064,48,45123,45,11
55807,39,56955,43,11
55807,44,45064,47,12
56955,29,45123,57,12
56955,36,45064,34,13
45123,34,55807,31,13
45064,36,45123,42,14
55807,45,56955,59,14
55807,46,45064,47,15
56955,65,45123,32,15
56955,63,45064,51,16
45123,54,55807,35,16
45064,82,45123,51,17
55807,41,56955,59,17
55807,45,45064,52,18
56955,43,45123,41,18
56955,41,45064,35,19
45123,42,55807,38,19
45064,51,45123,46,20
55807,55,56955,45,20
55807,35,45064,42,21
56955,33,45123,54,21
56955,37,45064,51,22
45123,36,55807,40,22
45064,48,45123,43,23
55807,45,56955,38,23
55807,55,45064,56,24
56955,52,45123,48,24
56955,35,45064,69,25
45123,64,55807,54,25
45064,56,45123,39,26
55807,48,56955,40,26
55807,42,45064,36,27
56955,32,45123,47,27
56955,73,45064,41,28
45123,52,55807,21,28
45064,68,45123,22,29
55807,51,56955,61,29
55807,46,45064,47,30
56955,35,45123,47,30
56955,36,45064,51,31
45123,31,55807,28,31
45064,62,45123,44,32
55807,44,56955,37,32
55807,60,45064,88,33
56955,49,45123,67,33
56955,32,45064,46,34
45123,43,55807,45,34
45064,40,45123,33,35
55807,48,56955,63,35
55807,42,45064,60,36
56955,31,45123,76,36
56955,42,45064,43,37
45123,64,55807,38,37
45064,54,45123,28,38
55807,47,56955,41,38
