Team,Gameweek,Points,Total
Daddy Long FC,1,58,58
Daddy Long FC,2,48,106
Daddy Long FC,3,44,150
Daddy Long FC,4,45,195
Daddy Long FC,5,24,219
Daddy Long FC,6,45,264
Daddy Long FC,7,44,308
Daddy Long FC,8,38,346
Daddy Long FC,9,45,391
Daddy Long FC,10,39,430
Daddy Long FC,11,43,473
Daddy Long FC,12,29,502
Daddy Long FC,13,36,538
Daddy Long FC,14,59,597
Daddy Long FC,15,65,662
Daddy Long FC,16,63,725
Daddy Long FC,17,59,784
Daddy Long FC,18,43,827
Daddy Long FC,19,41,868
Daddy Long FC,20,45,913
Daddy Long FC,21,33,946
Daddy Long FC,22,37,983
Daddy Long FC,23,38,1021
Daddy Long FC,24,52,1073
Daddy Long FC,25,35,1108
Daddy Long FC,26,40,1148
Daddy Long FC,27,32,1180
Daddy Long FC,28,73,1253
Daddy Long FC,29,61,1314
Daddy Long FC,30,35,1349
Daddy Long FC,31,36,1385
Daddy Long FC,32,37,1422
Daddy Long FC,33,49,1471
Daddy Long FC,34,32,1503
Daddy Long FC,35,63,1566
Daddy Long FC,36,31,1597
Daddy Long FC,37,42,1639
Daddy Long FC,38,41,1680
Invincibles,1,53,53
Invincibles,2,32,85
Invincibles,3,36,121
Invincibles,4,66,187
Invincibles,5,42,229
Invincibles,6,33,262
Invincibles,7,65,327
Invincibles,8,46,373
Invincibles,9,33,406
Invincibles,10,56,462
Invincibles,11,45,507
Invincibles,12,57,564
Invincibles,13,34,598
Invincibles,14,42,640
Invincibles,15,32,672
Invincibles,16,54,726
Invincibles,17,51,777
Invincibles,18,41,818
Invincibles,19,42,860
Invincibles,20,46,906
Invincibles,21,54,960
Invincibles,22,36,996
Invincibles,23,43,1039
Invincibles,24,48,1087
Invincibles,25,64,1151
Invincibles,26,39,1190
Invincibles,27,47,1237
Invincibles,28,52,1289
Invincibles,29,22,1311
Invincibles,30,47,1358
Invincibles,31,31,1389
Invincibles,32,44,1433
Invincibles,33,67,1500
Invincibles,34,43,1543
Invincibles,35,33,1576
Invincibles,36,76,1652
Invincibles,37,64,1716
Invincibles,38,28,1744
Real G FC,1,41,41
Real G FC,2,79,120
Real G FC,3,43,163
Real G FC,4,63,226
Real G FC,5,26,252
Real G FC,6,28,280
Real G FC,7,34,314
Real G FC,8,60,374
Real G FC,9,37,411
Real G FC,10,64,475
Real G FC,11,48,523
Real G FC,12,47,570
Real G FC,13,34,604
Real G FC,14,36,640
Real G FC,15,47,687
Real G FC,16,51,738
Real G FC,17,82,820
Real G FC,18,52,872
Real G FC,19,35,907
Real G FC,20,51,958
Real G FC,21,42,1000
Real G FC,22,51,1051
Real G FC,23,48,1099
Real G FC,24,56,1155
Real G FC,25,69,1224
Real G FC,26,56,1280
Real G FC,27,36,1316
Real G FC,28,41,1357
Real G FC,29,68,1425
Real G FC,30,47,1472
Real G FC,31,51,1523
Real G FC,32,62,1585
Real G FC,33,88,1673
Real G FC,34,46,1719
Real G FC,35,40,1759
Real G FC,36,60,1819
Real G FC,37,43,1862
Real G FC,38,54,1916
Trump made us rich,1,30,30
Trump made us rich,2,63,93
Trump made us rich,3,36,129
Trump made us rich,4,48,177
Trump made us rich,5,37,214
Trump made us rich,6,25,239
Trump made us rich,7,58,297
Trump made us rich,8,49,346
Trump made us rich,9,57,403
Trump made us rich,10,57,460
Trump made us rich,11,39,499
Trump made us rich,12,44,543
Trump made us rich,13,31,574
Trump made us rich,14,45,619
Trump made us rich,15,46,665
Trump made us rich,16,35,700
Trump made us rich,17,41,741
Trump made us rich,18,45,786
Trump made us rich,19,38,824
Trump made us rich,20,55,879
Trump made us rich,21,35,914
Trump made us rich,22,40,954
Trump made us rich,23,45,999
Trump made us rich,24,55,1054
Trump made us rich,25,54,1108
Trump made us rich,26,48,1156
Trump made us rich,27,42,1198
Trump made us rich,28,21,1219
Trump made us rich,29,51,1270
Trump made us rich,30,46,1316
Trump made us rich,31,28,1344
Trump made us rich,32,44,1388
Trump made us rich,33,60,1448
Trump made us rich,34,45,1493
Trump made us rich,35,48,1541
Trump made us rich,36,42,1583
Trump made us rich,37,38,1621
Trump made us rich,38,47,1668
