id,team,position,first_name,second_name,web_name,known_name,team_join_date,birth_date,total_points,bonus,bps,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,points_per_game,points_per_game_rank,points_per_game_rank_type,saves_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type
1,Arsenal,GKP,David,Raya Martín,Raya,,2024-07-04,1995-09-15,162,11,633,3330,37,0,0,19,26,0,0,0,1,0,60,37,304,1,0,0.00,0.07,0.07,27.56,4.4,36,3,1.62,0.7,1.0,0.51,0.0,0.0,0.0,0.0,0.74,541.6,33.5,0.0,57.5,108,17,391,3,833,97,279,17
2,Arsenal,GKP,Kepa,Arrizabalaga Revuelta,Arrizabalaga,,2025-07-01,1994-10-03,2,0,11,90,1,0,0,0,1,0,0,0,0,0,2,3,8,0,0,0.00,0.00,0.00,0.98,2.0,343,35,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.98,19.8,0.0,0.0,2.0,464,38,572,55,541,40,489,38
3,Arsenal,GKP,Karl,Hein,Hein,,2020-10-28,2002-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,610,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599,76,590,65,559,50,602,76
4,Arsenal,GKP,Tommy,Setford,Setford,,2024-07-24,2006-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,583,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572,62,558,46,527,31,575,62
5,Arsenal,DEF,Gabriel,dos Santos Magalhães,Gabriel,Gabriel Magalhães,2020-09-01,1997-12-19,209,30,724,2750,30,3,5,18,20,0,0,0,4,0,0,239,64,38,277,2.94,1.75,4.69,22.01,6.5,4,1,0.0,0.65,0.98,0.59,9.07,0.1,0.06,0.16,0.72,824.0,128.5,298.0,125.0,27,9,274,77,116,18,91,20
6,Arsenal,DEF,William,Saliba,Saliba,,2019-07-25,2001-03-24,137,12,581,2614,30,1,0,15,20,0,0,0,2,0,0,158,113,35,193,0.88,1.21,2.09,20.41,4.4,37,13,0.0,0.69,1.03,0.52,6.64,0.03,0.04,0.07,0.7,552.6,201.0,90.0,84.3,104,48,205,51,302,91,192,66
7,Arsenal,DEF,Riccardo,Calafiori,Calafiori,,2024-07-29,2002-05-19,109,6,389,1697,22,1,2,13,8,0,0,0,5,0,0,70,74,32,102,3.36,0.76,4.12,9.72,4.2,46,16,0.0,0.42,1.17,0.69,5.41,0.18,0.04,0.22,0.52,283.0,182.3,313.0,77.9,257,101,223,56,107,14,211,74
8,Arsenal,DEF,Jurriën,Timber,J.Timber,,2023-07-14,2001-06-17,149,9,532,2452,28,3,6,13,20,0,0,0,5,0,0,82,97,66,148,4.71,1.53,6.24,17.45,5.0,13,3,0.0,0.73,1.03,0.48,5.43,0.17,0.06,0.23,0.64,499.0,402.6,352.0,125.7,132,58,89,22,90,10,90,19
9,Arsenal,DEF,Jakub,Kiwior,Kiwior,,2023-01-23,2000-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,825,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825,270,825,270,824,270,825,270
10,Arsenal,DEF,Myles,Lewis-Skelly,Lewis-Skelly,,2022-12-04,2006-09-26,29,0,110,697,5,0,0,2,8,0,0,0,3,0,0,17,30,8,25,0.10,0.20,0.30,9.01,1.4,436,159,0.0,1.03,0.65,0.26,3.23,0.01,0.03,0.04,1.16,73.2,74.6,29.0,17.6,410,153,336,115,383,133,403,144
11,Arsenal,DEF,Benjamin,White,White,,2021-07-30,1997-10-08,45,3,181,699,9,0,1,5,6,0,0,0,0,0,0,38,28,15,53,0.45,0.69,1.14,8.68,3.8,81,29,0.0,0.77,1.16,0.64,6.82,0.06,0.09,0.15,1.12,154.8,133.4,54.0,34.3,344,130,267,73,344,113,355,118
13,Arsenal,DEF,Brayden,Clarke,Clarke,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,540,186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529,186,510,185,478,180,532,186
14,Arsenal,DEF,Maldini,Kacurri,Kacurri,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,588,210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577,210,563,209,532,205,580,210
15,Arsenal,DEF,Josh,Nichols,Nichols,,2024-07-24,2006-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,539,185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528,185,508,183,476,178,531,185
16,Arsenal,MID,Bukayo,Saka,Saka,,2018-11-28,2001-09-05,157,18,570,2218,25,7,10,12,16,0,0,0,2,0,0,28,116,40,184,7.57,7.16,14.73,15.57,5.1,12,6,0.0,0.65,1.01,0.49,7.47,0.31,0.29,0.6,0.63,627.0,847.6,828.0,230.6,74,22,12,11,11,6,11,8
17,Arsenal,MID,Martin,Ødegaard,Ødegaard,,2021-08-20,1998-12-17,74,5,306,1363,16,1,7,6,13,0,0,0,0,0,0,13,70,19,102,1.25,3.65,4.90,16.20,3.1,187,73,0.0,0.86,1.06,0.4,6.74,0.08,0.24,0.32,1.07,311.8,564.4,168.0,104.4,238,100,44,38,218,117,138,75
18,Arsenal,MID,Noni,Madueke,Madueke,,2025-07-18,2002-03-10,72,9,254,1205,16,3,1,8,9,0,0,0,0,0,0,14,35,21,70,1.23,2.86,4.09,12.77,2.8,230,90,0.0,0.67,1.2,0.6,5.23,0.09,0.21,0.3,0.95,257.4,352.8,404.0,101.3,272,115,113,79,77,45,145,79
19,Arsenal,MID,Gabriel,Martinelli Silva,Martinelli,Gabriel Martinelli,2019-07-15,2001-06-18,57,3,195,1065,11,1,5,2,8,0,0,0,3,0,0,13,52,12,77,4.12,1.27,5.39,10.51,1.9,372,161,0.0,0.68,0.93,0.17,6.51,0.35,0.11,0.46,0.89,204.6,202.2,390.0,79.0,308,131,204,135,82,49,209,99
20,Arsenal,MID,Leandro,Trossard,Trossard,,2023-01-20,1994-12-04,119,11,445,1997,21,6,6,11,15,0,0,0,2,0,0,26,80,27,133,5.60,3.59,9.18,13.94,3.8,85,41,0.0,0.68,0.95,0.5,5.99,0.25,0.16,0.41,0.63,494.0,545.5,541.0,158.3,134,45,47,41,48,27,51,35
21,Arsenal,MID,Declan,Rice,Rice,,2023-07-15,1999-01-14,184,23,790,3093,35,4,9,18,25,0,0,0,3,0,0,127,180,69,376,3.15,7.32,10.47,23.87,5.1,9,4,0.0,0.73,1.02,0.52,10.94,0.09,0.21,0.3,0.69,827.2,1027.4,298.0,215.4,26,9,4,4,115,69,15,11
22,Arsenal,MID,Mikel,Merino Zazón,Merino,,2024-08-27,1996-06-22,67,5,236,1024,10,4,3,4,10,0,0,0,1,0,0,30,57,26,113,3.36,1.45,4.81,7.36,3.0,199,78,0.0,0.88,0.88,0.35,9.93,0.3,0.13,0.43,0.65,304.4,191.8,244.0,73.6,242,102,215,143,143,78,225,108
23,Arsenal,MID,Fábio,Ferreira Vieira,Fábio Vieira,,2022-06-21,2000-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,824,367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824,367,824,367,823,367,824,367
24,Arsenal,MID,Christian,Nørgaard,Nørgaard,,2025-07-10,1994-03-10,7,0,28,101,1,0,0,0,1,0,0,0,0,0,0,9,4,3,16,0.08,0.04,0.12,2.28,1.0,514,236,0.0,0.89,0.89,0.0,14.26,0.07,0.04,0.11,2.03,23.4,5.5,10.0,4.0,459,203,461,221,429,210,472,211
25,Arsenal,MID,Ethan,Nwaneri,Nwaneri,,2022-09-17,2007-03-21,8,0,20,165,0,0,0,1,0,0,0,0,0,0,0,1,10,2,13,0.23,0.08,0.31,0.73,1.3,448,198,0.0,0.0,0.0,0.55,7.09,0.13,0.04,0.17,0.4,8.6,22.5,24.0,5.4,483,215,410,204,392,195,461,205
26,Arsenal,MID,Martín,Zubimendi Ibáñez,Zubimendi,,2025-07-06,1999-02-02,133,9,604,2991,34,5,1,16,25,0,0,0,4,0,0,123,116,68,307,2.84,2.27,5.11,26.09,3.5,116,50,0.0,0.75,1.02,0.48,9.24,0.09,0.07,0.16,0.79,603.2,385.1,271.0,126.2,81,26,99,70,131,73,89,55
